amfi_code,alpha,beta
100016,0.03747736929146454,-0.05831918791218765
100025,0.04281788927355638,0.0011592272164998609
100033,0.2719534082328371,0.00510797141052006
101206,0.213997282624413,0.021104684121426055
101207,0.10897266883955709,-0.06534612005066116
101208,0.06086145080976295,0.0002669420088905571
102885,0.17048809030107576,-0.01950376024146884
102886,0.02897052686275294,-0.042161723298045795
102887,0.16211212082619844,0.016697221397211394
118632,0.21829420293782956,-0.008361108984215472
118633,0.15643934144673444,-0.03667092222968826
118634,0.17500444293421968,0.10358679077828303
118635,0.15136358490231727,-0.0014347701017921367
118636,0.050747696319530314,0.0012577689371568526
119092,0.06899503742227701,0.009739221259865443
119093,0.08232731925411181,0.025905758792392885
119094,0.26076846678563453,-0.06632315112684248
119095,0.04801774800170716,-0.06700949447782796
119120,0.05620912406452551,-0.00641943770626278
119551,0.23201092257934078,-0.03177909918868229
119552,0.1986866947663855,-0.026182094366748176
119598,0.3033702755494032,-0.023216267673017932
119599,0.04882255423007226,0.0620558129230747
120503,0.17703410290995095,-0.040304029854463304
120504,0.21194783509553816,0.016246309282115106
120505,0.2926358187036024,0.0005494824773308685
120506,0.16253740992926097,0.04193295790471221
120507,0.06746211601315864,-0.00044447947324334605
120841,0.13042827011620886,0.036388068359327154
120842,0.07804390481777744,0.018072603192620006
120843,0.2733052622402415,-0.02284945617726315
120844,0.06455678569413936,-0.0004010933198263779
125497,0.17729624083564077,0.04886293074412406
125498,0.11989076704412104,0.009062299740747638
148567,0.2698368796741894,0.02370418835291818
148568,0.20873080808887967,-0.02641070576260942
148569,0.2827031925169368,0.018149680150134385
149322,0.13173201081264457,-0.004053799240746958
149323,0.26598584303968636,-0.0025252024039542115
149324,0.30057847469908183,0.011465138322855657
